Nume,Functie,Dieta,Personaj
Pal Szil�rd Levente,unit driver (8 episodes 2022),Flexitarian,Clarvazator
Priscila Amescua-Mendez,Support to co executive producer (8 episodes 2022),Vegetarian,Vampir
Dogaru Silviu Andrei,unit production assistant / unit set assistant (8 episodes 2022),Vegetarian,Varcolac
Aaron Becker,main title design (8 episodes 2022),Apt,Vampir
Gergo Benkoczy,dog trainer (8 episodes 2022),Flexitarian,Clarvazator
Dascalu Bogdan,unit production assistant (8 episodes 2022),Flexitarian,Varcolac
Teo Bostanica,unit manager (8 episodes 2022),Apt,Clarvazator
Alexandra Cranga,petty cash accountant (8 episodes 2022),Flexitarian,Vampir
Razvana Cristescu,first assistant accountant (8 episodes 2022),Apt,Varcolac
Claudia Dediu,producer's assistant (8 episodes 2022),Flexitarian,Vampir
Penny Dyer,dialect coach (8 episodes 2022),Apt,Clarvazator
Zoltan Horkai,head animal trainer (8 episodes 2022),Apt,Varcolac
Ana Ineni,production secretary (8 episodes 2022),Flexitarian,Varcolac
Emanuel Gabriel Ion,testing coordinator assistant (8 episodes 2022),Flexitarian,Clarvazator
Gavriloaia Irina,assistant contracts coordinator (8 episodes 2022),Vegetarian,Vampir
Peter Ivanyi,head animal trainer (8 episodes 2022),Flexitarian,Vampir
Austin Kircher,post-production accountant (8 episodes 2022),Flexitarian,Varcolac
Christopher Landry,epk host (8 episodes 2022),Apt,Vampir
Nelson Moses Lassiter,production administration assistant (8 episodes 2022),Vegetarian,Clarvazator
Ioana Macarie,choreographer (8 episodes 2022),Apt,Sirena
Cosmin Manea,payroll accountant (8 episodes 2022),Vegetarian,Vampir
Elle McAlpine,intimacy coordinator (8 episodes 2022),Vegetarian,Vampir
Troy James Miller,titles producer: Filmograph (8 episodes 2022),Vegetarian,Om
Dan Mirea,unit operations (8 episodes 2022),Flexitarian,Sirena
Ioana Mititelu,assistant production coordinator (8 episodes 2022),Flexitarian,Clarvazator
Kristine Popovici,office production assistant (8 episodes 2022),Apt,Om
Aurel Nicolae Radu,assistant accountant (8 episodes 2022),Flexitarian,Om
Olesea Railean,production accountant (8 episodes 2022),Flexitarian,Sirena
Adrian Sabau,production coordinator (8 episodes 2022),Vegetarian,Sirena
Iulia Anamaria Sima,contracts coordinator (8 episodes 2022),Vegetarian,Clarvazator
Daniela Soare,production assistant (8 episodes 2022),Apt,Sirena
Adam M. Stone,product placement coordinator (8 episodes 2022),Flexitarian,Om
Cat Stone,product placement coordinator (8 episodes 2022),Vegetarian,Varcolac
Georgiana Tamaga,travel coordinator (8 episodes 2022),Apt,Vampir
Logi Thorvaldsson,actors assistant (8 episodes 2022),Apt,Clarvazator
Toria Turner,executive assistant (8 episodes 2022),Vegetarian,Varcolac
Tony Wright,international liaison (8 episodes 2022),Apt,Clarvazator
Bianca Bumbacea,basecamp runner (7 episodes 2022),Flexitarian,Vampir
Lindsay Moffat,production accountant (4 episodes 2022),Apt,Vampir
Gunnar Sizemore,adr voice actor (4 episodes 2022),Flexitarian,Om
Bacula Sorin,caterer (3 episodes 2022),Flexitarian,Clarvazator
Monica Adam,petty cash (2 episodes 2022),Vegetarian,Om
Liliana Chomsky,adr loop group (2 episodes 2022),Vegetarian,Sirena
Vanessa Coffey,intimacy coordinator (2 episodes 2022),Flexitarian,Vampir
Marius Florescu,covid supervisor (2 episodes 2022),Flexitarian,Clarvazator
Marilyn Lindsay,prep accountant (2 episodes 2022),Vegetarian,Clarvazator
Rhidian Bridge,covid supervisor (1 episode 2022),Vegetarian,Varcolac
Bianca Bumvacea,basecamp runner (1 episode 2022),Apt,Om
Luke Carroll,production secretary: additional photography (1 episode 2022),Vegetarian,Sirena
Ahmed El-Gallad,writer (1 episode 2022),Vegetarian,Om
Jorge Garcia Castro,consultant (1 episode 2022),Vegetarian,Vampir
Adam Lannon,covid manager (1 episode 2022),Apt,Sirena
Sarah McGuinness,dialect coach: James Clay Caroline Lawrie (1 episode 2022),Vegetarian,Om
Annabel Wilkin,first assistant accountant: UK (1 episode 2022),Flexitarian,Om
Eugene Shawn,assistant (uncredited) (8 episodes 2022),Flexitarian,Sirena
Ana Duarte,assistant to casting director (uncredited) (1 episode 2022),Vegetarian,Clarvazator
Isaac Sunderland,covid coordinator (uncredited) (1 episode 2022),Apt,Sirena
xsufp,vamp,Flexitarian,Varcolac
qvidq,clair,Flexitarian,Sirena
rcamh,merm,Apt,Om
fsemm,wolf,Apt,Om
mxitr,clair,Apt,Om
sxeqb,vamp,Apt,Sirena
fwesk,man,Apt,Clarvazator
fgojx,clair,Vegetarian,Clarvazator
ppaxq,wolf,Apt,Clarvazator
gwitq,merm,Vegetarian,Sirena
mvirj,vamp,Apt,Om
knerr,clair,Apt,Varcolac
wpoxt,clair,Flexitarian,Varcolac
jduwg,wolf,Vegetarian,Vampir
pxahb,man,Flexitarian,Clarvazator
fgokp,clair,Apt,Sirena
jlisv,wolf,Apt,Varcolac
hvokh,merm,Vegetarian,Clarvazator
fwifj,clair,Apt,Varcolac
whojh,merm,Vegetarian,Vampir
pweqv,man,Flexitarian,Om
nwemd,wolf,Apt,Vampir
dqusq,merm,Apt,Sirena
dfogk,vamp,Flexitarian,Om
jbibk,man,Vegetarian,Sirena
wdabq,vamp,Flexitarian,Vampir
nvels,man,Vegetarian,Sirena
tnaxl,wolf,Vegetarian,Clarvazator
xlalv,vamp,Apt,Vampir
vkidj,wolf,Flexitarian,Vampir
jvunw,vamp,Apt,Varcolac
tnitj,wolf,Apt,Clarvazator
tjutb,vamp,Vegetarian,Clarvazator
jkalc,vamp,Vegetarian,Vampir
lsahm,wolf,Apt,Om
themq,vamp,Apt,Vampir
bgatt,merm,Flexitarian,Varcolac
nsuvt,merm,Apt,Om
ldudn,merm,Apt,Vampir
kkawt,man,Apt,Clarvazator
hnutl,vamp,Vegetarian,Clarvazator
mnevs,wolf,Vegetarian,Om
tniqm,clair,Vegetarian,Vampir
lvofp,vamp,Vegetarian,Clarvazator
wpuvn,vamp,Apt,Clarvazator
lhasx,vamp,Flexitarian,Varcolac
kwibt,wolf,Flexitarian,Varcolac
kgejx,vamp,Flexitarian,Sirena
djixh,man,Vegetarian,Varcolac
xranx,merm,Apt,Varcolac
rvans,clair,Vegetarian,Sirena
rtunw,vamp,Vegetarian,Clarvazator
ftefh,merm,Vegetarian,Vampir
wrofl,vamp,Apt,Sirena
wneds,man,Apt,Sirena
dnanb,vamp,Flexitarian,Varcolac
dnoqp,merm,Vegetarian,Varcolac
tguvb,merm,Vegetarian,Vampir
tloxs,vamp,Flexitarian,Om
dmokw,vamp,Apt,Sirena
jruwp,man,Flexitarian,Vampir
fxogw,merm,Flexitarian,Varcolac
chaft,clair,Flexitarian,Clarvazator
vrikm,clair,Apt,Vampir
qlavw,merm,Apt,Sirena
tkikn,clair,Apt,Vampir
jxapv,wolf,Flexitarian,Om
lwotm,vamp,Apt,Om
lpett,merm,Apt,Vampir
twiss,vamp,Flexitarian,Sirena
cvesm,merm,Vegetarian,Sirena
cjebv,wolf,Vegetarian,Sirena
vqobg,man,Vegetarian,Sirena
mjusq,vamp,Vegetarian,Varcolac
hjumh,wolf,Vegetarian,Sirena
cpakl,man,Apt,Om
mdegh,man,Apt,Clarvazator
nkuhs,man,Vegetarian,Sirena
lrulj,man,Vegetarian,Varcolac
mvawg,wolf,Vegetarian,Om
kcojx,clair,Apt,Sirena
ckuxg,wolf,Apt,Varcolac
nkaps,clair,Flexitarian,Clarvazator
frowk,wolf,Vegetarian,Vampir
hwuht,man,Apt,Sirena
mherb,clair,Vegetarian,Clarvazator
vjipb,wolf,Vegetarian,Varcolac
rjacr,man,Apt,Vampir
vkiqr,wolf,Vegetarian,Varcolac
lposb,vamp,Vegetarian,Varcolac
llalr,clair,Vegetarian,Varcolac
ltihg,wolf,Flexitarian,Vampir
htutg,vamp,Flexitarian,Om
rhegx,clair,Apt,Vampir
hbopd,merm,Apt,Om
nlokg,wolf,Apt,Clarvazator
hwuxv,man,Flexitarian,Clarvazator
csowb,man,Vegetarian,Vampir
bnamk,man,Flexitarian,Clarvazator
wgajl,man,Flexitarian,Sirena
sverc,wolf,Vegetarian,Vampir
ncikk,man,Apt,Clarvazator
dxepg,vamp,Apt,Varcolac
lriqf,merm,Vegetarian,Om
kmuwl,wolf,Flexitarian,Clarvazator
gfigh,merm,Vegetarian,Clarvazator
cjirl,wolf,Vegetarian,Vampir
skunc,wolf,Flexitarian,Om
qrexk,vamp,Flexitarian,Clarvazator
fqotd,man,Flexitarian,Sirena
nvisq,vamp,Flexitarian,Vampir
xkirk,clair,Vegetarian,Vampir
lmabj,clair,Flexitarian,Om
vxeff,wolf,Apt,Sirena
krekv,wolf,Apt,Varcolac
bhafx,vamp,Apt,Vampir
xgajm,merm,Apt,Vampir
rkuxm,clair,Flexitarian,Sirena
cgekc,wolf,Flexitarian,Vampir
bpawj,man,Flexitarian,Varcolac
vnoxk,man,Vegetarian,Clarvazator
sgavd,man,Vegetarian,Clarvazator
htidl,man,Vegetarian,Varcolac
fnimh,clair,Apt,Varcolac
fmesl,clair,Apt,Sirena
chofb,man,Apt,Om
jsudj,merm,Vegetarian,Clarvazator
ldawr,clair,Vegetarian,Om
cwasx,vamp,Flexitarian,Clarvazator
gsuck,clair,Flexitarian,Vampir
gpind,man,Apt,Om
lpifc,wolf,Apt,Varcolac
Nume,Functie,Dieta,Personaj
Tim Burton,director ,Flexitarian,Sirena
James Marshall,director,Vegetarian,Vampir
Gandja Monteiro,director ,Flexitarian,Om
Charles Addams,based on characters created by ,Apt,Clarvazator
Alfred Gough,writer ,Vegetarian,Om
Miles Millar,writer  ,Flexitarian,Vampir
Kayla Alpert,writer ,Vegetarian,Sirena
April Blair,writer  ,Vegetarian,Varcolac
Matt Lambert,writer  ,Vegetarian,Sirena
Jenna Ortega,actor/actress: Wednesday Addams ,Apt,Varcolac
Gwendoline Christie,actor/actress: Principal Larissa Weems ,Apt,Om
Riki Lindhome,actor/actress: Dr. Valerie Kinbott ,Flexitarian,Clarvazator
Emma Myers,actor/actress: Enid Sinclair (8 episodes 2022),Vegetarian,Sirena
Joy Sunday,actor/actress: Bianca Barclay (8 episodes 2022),Apt,Varcolac
Naomi J. Ogawa,actor/actress: Yoko Tanaka (8 episodes 2022),Flexitarian,Vampir
Christina Ricci,actor/actress: Marilyn Thornhill (8 episodes 2022),Flexitarian,Varcolac
Jamie McShane,actor/actress: Sheriff Donovan Galpin (8 episodes 2022),Flexitarian,Clarvazator
Hunter Doohan,actor/actress: Tyler Galpin (8 episodes 2022),Apt,Sirena
Percy Hynes White,actor/actress: Xavier Thorpe (8 episodes 2022),Flexitarian,Om
Georgie Farmer,actor/actress: Ajax Petropolus (8 episodes 2022),Vegetarian,Om
Johnna Dias-Watson,actor/actress: Divina (8 episodes 2022),Flexitarian,Varcolac
Oliver Watson,actor/actress: Kent (8 episodes 2022),Flexitarian,Clarvazator
Victor Dorobantu,actor/actress: Thing (8 episodes 2022),Apt,Om
Moosa Mostafa,actor/actress: Eugene Ottinger (8 episodes 2022),Apt,Varcolac
Daniel Himschoot,actor/actress: Hyde Monster (8 episodes 2022),Flexitarian,Clarvazator
Luyanda Unati Lewis-Nyawo,actor/actress: Deputy Ritchie Santiago (8 episodes 2022),Flexitarian,Om
Iman Marson,actor/actress: Lucas (8 episodes 2022),Vegetarian,Sirena
Calum Ross,actor/actress: Rowan Laslow (8 episodes 2022),Apt,Om
Cezar Grumazescu,actor/actress: Coach Vlad (8 episodes 2022),Flexitarian,Varcolac
Tommie Earl Jenkins,actor/actress: Mayor Noble Walker (8 episodes 2022),Vegetarian,Clarvazator
Catherine Zeta-Jones,actor/actress: Morticia Addams (8 episodes 2022),Vegetarian,Vampir
Morgan Beale,actor/actress: Jonah (8 episodes 2022),Flexitarian,Sirena
George Burcea,actor/actress: Lurch (8 episodes 2022),Apt,Varcolac
Islam Bouakkaz,actor/actress: Carter (8 episodes 2022),Vegetarian,Sirena
William Houston,actor/actress: Joseph Crackstone (8 episodes 2022),Vegetarian,Clarvazator
Karina Varadi,actor/actress: Wednesday (6yo)  (8 episodes 2022),Flexitarian,Vampir
Rina Mahoney,actor/actress: Janet Ottinger (8 episodes 2022),Flexitarian,Om
Georgia Goodman,actor/actress: Sue Ottinger (8 episodes 2022),Vegetarian,Vampir
Murray McArthur,actor/actress: Fabian (8 episodes 2022),Apt,Varcolac
Fred Armisen,actor/actress: Uncle Fester (8 episodes 2022),Apt,Clarvazator
Luis Guzm�n,actor/actress: Gomez Addams (8 episodes 2022),Apt,Clarvazator
Olimpia Malai,actor/actress: The Minister (8 episodes 2022),Apt,Om
Isaac Ordonez,actor/actress: Pugsley Addams (8 episodes 2022),Apt,Vampir
Nitin Ganatra,actor/actress: Dr. Anwar (8 episodes 2022),Vegetarian,Varcolac
Lucius Hoyos,actor/actress: Young Gomez (8 episodes 2022),Flexitarian,Clarvazator
Cheherezade Valentine Okotaka Ebale,actor/actress: Lou-Anne Walker (8 episodes 2022),Apt,Om
Oliver Wickham,actor/actress: Young Larissa Weems (8 episodes 2022),Flexitarian,Clarvazator
Edward Kennedy,actor/actress: MC Blood Suckaz (8 episodes 2022),Flexitarian,Clarvazator
Ismail Kesu,actor/actress: Young Sheriff Walker (8 episodes 2022),Flexitarian,Sirena
Caroline Lawrie,actor/actress: Martha (8 episodes 2022),Apt,Varcolac
Lachele Carl,actor/actress: Agnes (8 episodes 2022),Apt,Vampir
Gwen Jones,actor/actress: Young Morticia Addams (8 episodes 2022),Vegetarian,Clarvazator
Lisa O'Hare,actor/actress: Arlene (8 episodes 2022),Apt,Vampir
Sophia Nomvete,actor/actress: Connie Jorgensen (8 episodes 2022),Apt,Varcolac
Ichir� Y�ki,actor/actress: Kenichi Tanaka (8 episodes 2022),Flexitarian,Varcolac
Amanda Drew,actor/actress: Esther Sinclair (8 episodes 2022),Flexitarian,Vampir
Ryan Ellsworth,actor/actress: Murray Sinclair (8 episodes 2022),Flexitarian,Sirena
Gloria Garcia,actor/actress: Goody's Mom (8 episodes 2022),Apt,Om
Gracy Goldman,actor/actress: Gabrielle (8 episodes 2022),Flexitarian,Clarvazator
Lewis Hayes,actor/actress: Garett Gates (8 episodes 2022),Apt,Sirena
Philip Rosch,actor/actress: Ansel Gates (8 episodes 2022),Vegetarian,Vampir
Michael Okele,actor/actress: Morga(uncredited) (8 episodes 2022),Flexitarian,Varcolac
Chloe Cate,actor/actress: Studen(uncredited) (8 episodes 2022),Flexitarian,Sirena
Kayla Alpert,executive producer (8 episodes 2022),Apt,Om
Gail Berman,executive producer (8 episodes 2022),Flexitarian,Sirena
Tim Burton,executive producer (8 episodes 2022),Flexitarian,Vampir
Jonathan Glickman,executive producer (8 episodes 2022),Apt,Om
Carla Gonz�lez Vargas,co-executive producer (8 episodes 2022),Vegetarian,Vampir
Alfred Gough,executive producer (8 episodes 2022),Apt,Varcolac
Tommy Harper,executive producer (8 episodes 2022),Vegetarian,Sirena
Nick Iannelli,co-producer (8 episodes 2022),Vegetarian,Sirena
Kevin Lafferty,executive producer (8 episodes 2022),Apt,Clarvazator
Miles Millar,executive producer (8 episodes 2022),Flexitarian,Om
David Minkowski,co-executive producer (8 episodes 2022),Vegetarian,Clarvazator
Kevin Miserocchi,executive producer (8 episodes 2022),Flexitarian,Clarvazator
Andrew Mittman,executive producer (8 episodes 2022),Flexitarian,Varcolac
Carmen Pepelea,producer (8 episodes 2022),Flexitarian,Vampir
Steve Stark,executive producer (8 episodes 2022),Apt,Clarvazator
Natalie Testa,associate producer (8 episodes 2022),Apt,Varcolac
Todd Williams,co-executive producer (8 episodes 2022),Apt,Vampir
Chris Bacon,music (7 episodes 2022),Vegetarian,Om
Danny Elfman,music (4 episodes 2022),Apt,Sirena
Stephan Pehrsson,cinematography (4 episodes 2022),Flexitarian,Clarvazator
David Lanzenberg,cinematography (4 episodes 2022),Vegetarian,Varcolac
Ana Yavari,film editing (4 episodes 2022),Flexitarian,Vampir
Jay Prychidny,film editing (4 episodes 2022),Vegetarian,Varcolac
Paul G. Day,film editing (1 episode 2022),Flexitarian,Vampir
Florina Fernandes,casting (8 episodes 2022),Apt,Varcolac
Sophie Holland,casting (8 episodes 2022),Apt,Om
John Papsidera,casting (8 episodes 2022),Apt,Om
Mark Scruton,production design (8 episodes 2022),Vegetarian,Om
Adrian Curelea,supervising art director (8 episodes 2022),Flexitarian,Om
Ghinea Diana,art direction (8 episodes 2022),Apt,Clarvazator
Silvia Nancu,art direction (8 episodes 2022),Apt,Clarvazator
Andrei-Florian Popa,assistant art director / additional standby art director (8 episodes 2022),Vegetarian,Sirena
Serban Porupca,senior art director (8 episodes 2022),Flexitarian,Clarvazator
Vlad Roseanu,on-set art director / art director (8 episodes 2022),Apt,Clarvazator
Roxana Alexandru,art direction (3 episodes 2022),Flexitarian,Varcolac
Carmen Ratoi,art direction (3 episodes 2022),Apt,Sirena
Laurentiu Zarnoianu,set direction (8 episodes 2022),Vegetarian,Om
David Morison,set direction (4 episodes 2022),Flexitarian,Varcolac
Rob Hepburn,set direction (4 episodes 2022),Flexitarian,Varcolac
Colleen Atwood,costume design (8 episodes 2022),Flexitarian,Om
Bianca Boeroiu,makeup artist (8 episodes 2022),Vegetarian,Varcolac
Catalin Ciutu,hair stylist supervisor: crowd (8 episodes 2022),Vegetarian,Clarvazator
Natalie L Costello,special makeup effects artist (8 episodes 2022),Flexitarian,Clarvazator
Julian Hutcheson,special makeup effects artist (8 episodes 2022),Apt,Om
Nirvana Jalalvand,hair & makeup artist: main team (8 episodes 2022),Vegetarian,Sirena
Grace McComisky,prosthetic artist / prosthetic makeup artist (8 episodes 2022),Apt,Vampir
Tara McDonald,hair & makeup designer (8 episodes 2022),Apt,Clarvazator
Dominic Mombrun,dental effects designer & fabricator (8 episodes 2022),Vegetarian,Sirena
Angela Ruiz Morales,prosthetics artist (8 episodes 2022),Vegetarian,Clarvazator
Paraschiv Oana,makeup artist (8 episodes 2022),Flexitarian,Vampir
Alexandru Sassu,assistant makeup artist (8 episodes 2022),Apt,Clarvazator
Bas Schwarz,special effects makeup artist: mouldmaker & props (8 episodes 2022),Apt,Varcolac
Rub�n Serra,special makeup effects artist (8 episodes 2022),Flexitarian,Varcolac
Margo Stefan,hair stylist (8 episodes 2022),Flexitarian,Clarvazator
Viktoria Stieber,prosthetic makeup artist (8 episodes 2022),Vegetarian,Sirena
Sinead Sweeney,SFX contact lens coordinator (8 episodes 2022),Apt,Sirena
Iuliana Temelie,hair stylist (8 episodes 2022),Vegetarian,Sirena
Clara Tudose,hair & makeup artist (8 episodes 2022),Flexitarian,Om
Raquel �lvarez,prosthetic makeup sculptor (8 episodes 2022),Vegetarian,Sirena
Freda Ellis,makeup supervisor (6 episodes 2022),Flexitarian,Varcolac
Ripley Dale-Gulston,junior hair & makeup artist (6 episodes 2022),Apt,Clarvazator
Olimpia Stoicea,hair & makeup artist: main team (6 episodes 2022),Vegetarian,Varcolac
Tia Costell,junior hair & makeup artist (4 episodes 2022),Flexitarian,Om
Susan Cole,personal hair stylist: Luis Guzman (4 episodes 2022),Flexitarian,Vampir
Jean Carlos de Blas,key hair & makeup artist (4 episodes 2022),Apt,Varcolac
Gabriella Havens,makeup artist (3 episodes 2022),Vegetarian,Varcolac
Sheherezada Kouchaki,makeup artist (4 episodes 2022),Flexitarian,Clarvazator
Raluca Moldoveanu,makeup artist (4 episodes 2022),Vegetarian,Sirena
Andrea Dardea Tesdall,special makeup effects artist (3 episodes 2022),Apt,Varcolac
Nicoleta Toader,hair stylist: cast (4 episodes 2022),Flexitarian,Clarvazator
Natalie Fox,additional hair & makeup artist (2 episodes 2022),Flexitarian,Varcolac
Niki De Jong,prosthetic makeup artist (1 episode 2022),Vegetarian,Om
Ionel Popa,special makeup effects artist (1 episode 2022),Flexitarian,Varcolac
Athina Sapanidis,prosthethic makeup artist (1 episode 2022),Vegetarian,Om
Razvan Badea,unit production manager / production manager (8 episodes 2022),Flexitarian,Sirena
Irene Iovan Calangiu,health & safety unit production manager: covid (8 episodes 2022),Flexitarian,Vampir
Alexandru Cseh,production manager: second unit (8 episodes 2022),Apt,Om
Emma Mallett,unit production manager: additional photography (1 episode 2022),Flexitarian,Clarvazator
Alexandru Acsinte,assistant director (8 episodes 2022),Apt,Om
Emilie Balusson,second second assistant director / co-second assistant director (8 episodes 2022),Apt,Clarvazator
Bianca Bumbacea,assistant director (8 episodes 2022),Vegetarian,Vampir
Simona Dinu,second assistant director (8 episodes 2022),Flexitarian,Vampir
Mariana Grama,crowd second assistant director (8 episodes 2022),Vegetarian,Varcolac
Mircea Hategan,first assistant director (8 episodes 2022),Apt,Sirena
Stefania Ispas,trainee assistant director (8 episodes 2022),Vegetarian,Sirena
Loyzo,third assistant director (8 episodes 2022),Flexitarian,Om
Raphael Tudor,third assistant director (8 episodes 2022),Flexitarian,Om
Costin Sforaru,assistant director (7 episodes 2022),Flexitarian,Om
Sabina Balan,crowd first assistant director (6 episodes 2022),Vegetarian,Sirena
Brett Chan,second unit director (6 episodes 2022),Flexitarian,Vampir
Ada Dumitru,cast assistant (6 episodes 2022),Flexitarian,Om
Emyr Glyn Rees,second assistant director / first assistant director (6 episodes 2022),Vegetarian,Sirena
Jessica Kirec,second assistant director (4 episodes 2022),Vegetarian,Vampir
George Walker,first assistant director (4 episodes 2022),Vegetarian,Clarvazator
Richard O'Brien-Moran,first assistant director (2 episodes 2022),Flexitarian,Clarvazator
Mihaela Ionita,second assistant director (2 episodes 2022),Vegetarian,Varcolac
Alexandra Popa,crowd second assistant director (1 episode 2022),Vegetarian,Om
Alexandru Trandafira,crowd assistant director (2 episodes 2022),Vegetarian,Sirena
Sucioaia Alexandra,set dressing painter (8 episodes 2022),Apt,Om
Tache Alexandru,graphic designer (8 episodes 2022),Vegetarian,Vampir
Corneliu Mihai Bonciu,sculptor (8 episodes 2022),Apt,Varcolac
Rachel Garlick,storyboard artist (8 episodes 2022),Flexitarian,Vampir
Florin Gavrila,lead set dressing painter (8 episodes 2022),Flexitarian,Sirena
Adi Handac,property master (8 episodes 2022),Flexitarian,Om
Dana Ilie,art department manager (8 episodes 2022),Apt,Varcolac
Alexandru Titus Ipate,action vehicles supervisor (8 episodes 2022),Flexitarian,Varcolac
Simona Maican,art department coordinator (8 episodes 2022),Flexitarian,Clarvazator
Cristian Mihaila,assistant set decorator / set decoration buyer (8 episodes 2022),Flexitarian,Vampir
Cosmin Miroiu,head of greenery (8 episodes 2022),Apt,Clarvazator
Amalia Mititelu,set dressing painter (8 episodes 2022),Apt,Clarvazator
Pietro Nume,concept artist (8 episodes 2022),Flexitarian,Vampir
Iulia Petrescu,assistant set decorator (8 episodes 2022),Flexitarian,Varcolac
Madalina Ripanu,clearance coordinator (8 episodes 2022),Vegetarian,Clarvazator
Geaniloni Sandru,lead painter (8 episodes 2022),Apt,Sirena
Eusebiu Sirbu,head graphic designer (8 episodes 2022),Vegetarian,Om
Cristina Stefan,graphic designer (8 episodes 2022),Apt,Sirena
Alexandra Tudor,assistant art director (8 episodes 2022),Vegetarian,Varcolac
Laurentiu Zarnoianu,leadman (8 episodes 2022),Apt,Vampir
Liviu Antonescu,graphic designer (6 episodes 2022),Vegetarian,Varcolac
Madalina Ciosu,set designer (6 episodes 2022),Flexitarian,Om
Tudor Iordachescu,set designer (6 episodes 2022),Apt,Om
Anca Iscru,set designer (6 episodes 2022),Apt,Om
Ana Neag,assistant art director (6 episodes 2022),Apt,Vampir
Iulia Pasarica,assistant art director (6 episodes 2022),Flexitarian,Om
Andreea Siminea,set designer (6 episodes 2022),Vegetarian,Clarvazator
Amy Lockwood,assistant set decorator (4 episodes 2022),Vegetarian,Sirena
Andrew Cherry,storyboard artist (3 episodes 2022),Flexitarian,Clarvazator
Cristian Darstar,storyboard artist (3 episodes 2022),Vegetarian,Vampir
Adrian Curelea,supervising art director (2 episodes 2022),Apt,Varcolac
Serban Porupca,senior art director (2 episodes 2022),Flexitarian,Vampir
Radu Costache,assistant property master (1 episode 2022),Flexitarian,Om
Jennifer Keen,first set decoration buyer (1 episode 2022),Flexitarian,Om
Karen Krizanovich,production design researcher (1 episode 2022),Apt,Om
Ben Livingstone,illustrator (1 episode 2022),Apt,Om
Yohann Angelvy,french casting mixer (8 episodes 2022),Vegetarian,Vampir
Michael Baskerville,re-recording mixer (8 episodes 2022),Flexitarian,Sirena
Nicolae Comarzan,sound mixer: second unit (8 episodes 2022),Apt,Sirena
Tony Diaz,adr mixer (8 episodes 2022),Vegetarian,Vampir
Arturo A. Fuenmayor,re-recording mix assistant / additional re-recording mixer (8 episodes 2022),Flexitarian,Clarvazator
Alastair Gray,dialogue editor (8 episodes 2022),Flexitarian,Vampir
Justin Helle,foley mixer (8 episodes 2022),Apt,Vampir
John Loranger,supervising sound editor (8 episodes 2022),Flexitarian,Sirena
Liviu Lupsa,sound mixer (8 episodes 2022),Flexitarian,Om
Kristi McIntyre,adr editor / sound effects editor (8 episodes 2022),Flexitarian,Vampir
Sean Miller,adr recordist (8 episodes 2022),Vegetarian,Om
Faustine Pelipel,assistant sound editor (8 episodes 2022),Vegetarian,Sirena
Dan Sexton,sound effects editor (8 episodes 2022),Flexitarian,Varcolac
Alex Stylianou,adr recordist (8 episodes 2022),Vegetarian,Sirena
Jamie Sulek,re-recording mixer (8 episodes 2022),Apt,Clarvazator
Mike Tehrani,adr mixer (8 episodes 2022),Apt,Varcolac
Marcus Byrne,adr mixer (7 episodes 2022),Flexitarian,Sirena
Greg Crawford,adr mixer (7 episodes 2022),Flexitarian,Varcolac
Juan Martin Del Campo,adr mixer (7 episodes 2022),Flexitarian,Vampir
Tim McKeever,adr mixer (7 episodes 2022),Flexitarian,Vampir
Simon Diggins,adr mixer (6 episodes 2022),Apt,Om
Jonathan Gomez,adr mixer (4 episodes 2022),Flexitarian,Vampir
Nathan Jackson,foley editor (1 episode 2022),Vegetarian,Clarvazator
William Kellerman,foley artist (1 episode 2022),Vegetarian,Vampir
Leslie Liu,adr mixer (2 episodes 2022),Flexitarian,Sirena
Ana Quiroga,audio coordinator (uncredited) (8 episodes 2022),Vegetarian,Vampir
Dan Barcutean,special effects technician (8 episodes 2022),Flexitarian,Om
Max Costello,special effects technician (7 episodes 2022),Vegetarian,Om
Florin Stoian,special effects technician (8 episodes 2022),Flexitarian,Vampir
Harry Troughton,special effects coordinator (8 episodes 2022),Flexitarian,Om
Jason Troughton,special effects supervisor (8 episodes 2022),Flexitarian,Sirena
Adrian Nica,lead technician (4 episodes 2022),Vegetarian,Varcolac
Ilinca Angelescu,special effects makeup (1 episode 2022),Vegetarian,Clarvazator
Yovko Dogandjiiski,special effects supervisor (2 episodes 2022),Vegetarian,Om
Antonia Tocheva,special effects office coordinator (2 episodes 2022),Vegetarian,Om
Matthew Adams,digital compositor: Ghost VFX Toronto (8 episodes 2022),Flexitarian,Sirena
Oana Bardan,visual effects coordinator (8 episodes 2022),Vegetarian,Sirena
Craig Calvert,visual effects supervisor: Mr. X (8 episodes 2022),Vegetarian,Varcolac
Kevin Chandoo,head of studio: Ghost VFX Toronto (8 episodes 2022),Vegetarian,Sirena
Nick Colangelo,visual effects producer: Mr. X (8 episodes 2022),Vegetarian,Vampir
John Coldrick,visual effects supervisor: Rocket Science VFX (8 episodes 2022),Apt,Sirena
Sam Cole,lighting lead: Mr. X (8 episodes 2022),Vegetarian,Clarvazator
Chris Cooper,cg supervisor: Mr. X (8 episodes 2022),Apt,Om
Roger Dalupang,lead render wrangler/pipeline td (8 episodes 2022),Vegetarian,Varcolac
Swedyl DSouza,visual effects production manager (8 episodes 2022),Apt,Sirena
Maxime Ducharme,visual effects artist: MELS (2 episodes 2022),Apt,Om
Paula Fanaia,digital compositor: Ghost VFX Toronto (8 episodes 2022),Apt,Sirena
